,BP_D,,
,Cor,GOF,KGE
1,0.528534339,-2.183371929,-13.38781709
2,0.664269566,-3.792764043,-12.64882243
3,0.839504855,-0.484059033,-9.171779526
4,0.55920998,-3.792135118,-10.86083429
5,0.886595391,0.718917749,-2.860803742
6,0.431719225,-1.179436878,-23.64210246
7,-0.383859002,-1.773056454,-5.224540458
8,0.875901885,0.704755109,-2.567889533
9,0.894423694,-0.400375885,-9.506435073
10,0.899948395,0.327458997,-6.17649819
11,0.881995091,0.746575642,-1.767050286
12,0.412054034,-1.291422297,-13.10343751
13,0.850540224,0.670211842,-2.285193828
14,0.905100127,0.530252025,-3.715963815
15,0.898929938,0.39207576,-5.286166522
16,0.901170131,0.387197389,-5.965162488
17,0.766732192,-1.258695166,-26.46780261
18,0.88842989,-0.566513354,-10.11750404
19,0.838110973,-0.813256016,-14.48803877
20,0.874516042,0.009690253,-5.283261817
21,0.736849211,-0.724061768,-16.02703587
22,-0.091842718,-2.162382406,-11.1332009
23,0.317799314,-1.112675438,-62.91549465
24,-0.097689178,-1.899739907,-11.95070541
25,0.840359302,-0.212983304,-7.434637001
26,0.071709602,-1.645411361,-25.23970769
27,0.901108535,-0.030259184,-6.244873598
28,-0.349598647,-1.193934041,-1.081562018
29,0.892057361,-0.131699301,-6.202537181
30,0.187273337,-1.763147562,-9.088966628
31,0.903817183,0.503147377,-4.028661335
32,0.787325412,-1.965291359,-16.62132339
33,0.499818784,-1.171353151,-130.6080192
34,0.215746701,-1.820541631,-29.7073306
35,-0.027730407,-1.805135433,-9.523301378
36,0.877611091,0.616701434,-4.87136546
37,0.882978891,0.729132385,0.451631925
38,-0.168405872,-1.923756781,-6.238586194
39,0.828025825,0.652437383,-2.91652648
