FID ,Land_Use,RVK,VVK,Area,Lon,Lat
1,Forest,404.188995,234.978012,240312.9423,13.850429,50.095609
2,Forest,384.958008,209.223007,393516.4508,13.858174,50.097108
3,Forest,434.039001,273.833984,378060.1929,13.87188,50.102236
4,Forest,405.722015,238.10199,219996.7345,13.864201,50.099055
5,Arable land,412.832977,243.552002,30037.61879,13.84914,50.097968
6,Arable land,426.439026,256.410004,75902.38975,13.845736,50.09735
7,Arable land,430.841003,260.085999,81679.91998,13.840437,50.098734
8,Arable land,415.709991,246.467987,72959.74287,13.8487,50.099647
9,Arable land,397.131989,227.553009,78242.73469,13.855455,50.101109
10,Arable land,395.642029,225.753006,28785.28858,13.856979,50.102004
11,Arable land,391.125,219.14801,33384.46956,13.857396,50.102712
12,Arable land,438.763,268.074005,160430.6221,13.841923,50.100198
13,Arable land,389.851013,216.790009,46127.22697,13.859764,50.103001
14,Arable land,429.653015,270.29599,28303.54722,13.868909,50.104938
15,Arable land,409.606018,244.633011,71003.47015,13.862293,50.103699
16,Arable land,416.123016,253.722,79849.07413,13.865769,50.104232
17,Arable land,392.947998,224.664993,113676.7389,13.854013,50.103903
18,Arable land,448.026001,289.990997,80851.55134,13.871857,50.105773
19,Arable land,422.540009,263.776001,70282.25923,13.86,50.105421
20,Meadow,392.778992,225.203003,13240.61911,13.856318,50.105484
21,Arable land,401.600006,235.195999,107151.8224,13.848651,50.103845
22,Arable land,395.684021,228.871002,83461.1872,13.852181,50.105733
23,Arable land,417.460999,258.536011,84742.87443,13.858667,50.106839
24,Arable land,443.419983,285.983002,73662.03717,13.870946,50.107899
25,Arable land,406.69101,240.621002,21877.81414,13.844544,50.105823
26,Building,406.626,240.063,65383.81848,13.846714,50.10659
27,Arable land,408.399994,244.727005,33017.85808,13.842912,50.107219
28,Forest,393.833984,226.537003,122378.951,13.829998,50.109328
29,Arable land,399.779999,233.444,38610.79872,13.83999,50.108121
30,Arable land,378.009979,208.190002,169924.2087,13.828567,50.105763
31,Arable land,392.587006,224.766998,32274.5798,13.836095,50.108391
32,Arable land,384.90799,215.987,91311.32548,13.831198,50.108528
33,Arable land,392.579987,224.981003,160370.4255,13.838992,50.109519
34,Arable land,389.515015,221.322998,56904.23043,13.831072,50.110268
35,Arable land,439.537994,284.214996,158742.2752,13.865861,50.106986
36,Forest,380.138,210.419998,570846.5902,13.83993,50.104434
37,Arable land,407.766998,239.026001,91344.60886,13.851496,50.1007
38,Arable land,365.373993,194.206009,262048.2901,13.832736,50.102469
39,Wetland,415.597992,253.087997,102224.0873,13.858627,50.100974
