FID ,Land_Use,Area,RVK,VVK,Lon,Lat
1,Wetland,133908.0207,430.634003,269.817993,13.860661,50.101401
2,Forest,390753.6579,384.958008,209.223007,13.858204,50.097099
3,Arable land,160632.9772,437.705994,267.054993,13.844307,50.100215
4,Arable land,58542.68052,427.83902,257.694,13.847334,50.097623
5,Arable land,80240.51321,441.085999,270.367004,13.844659,50.098916
6,Arable land,95231.74782,405.509003,236.912003,13.851253,50.100786
7,Arable land,106153.8698,351.892029,179.554993,13.837392,50.100011
8,Forest,377443.2829,406.651978,239.664001,13.841624,50.103293
9,Arable land,42381.93947,390.791016,218.374008,13.85763,50.101698
10,Arable land,84446.2544,401.964996,235.498993,13.848461,50.104171
11,Arable land,180756.3735,446.26001,288.670013,13.86245,50.10648
12,Arable land,314978.9386,414.13501,250.983002,13.861477,50.10328
13,Arable land,35295.79317,443.265015,285.042999,13.864883,50.105522
14,Meadow,30495.94959,392.47699,224.97699,13.86065,50.105759
15,Arable land,52109.74301,348.531982,175.919006,13.834907,50.102716
16,Arable land,96662.90196,346.192993,173.388,13.836479,50.100038
17,Arable land,59275.80349,443.419983,285.983002,13.863116,50.107838
18,Arable land,190770.6907,396.239014,229.429001,13.853357,50.104715
19,Building,40885.7753,393,231,13.849055,50.106045
20,Arable land,39107.41217,364.855988,193.652008,13.827714,50.102897
21,Arable land,67127.22552,447.085999,289.036011,13.871084,50.107877
22,Forest,11509.74747,406.495026,240.013,13.843257,50.105669
23,Arable land,31542.75478,410.653992,247.957001,13.844184,50.107781
24,Forest,214433.5394,380.559998,210.902008,13.835933,50.106217
25,Arable land,270780.0162,384.630005,215.667999,13.832802,50.107516
26,Road,67988.43563,388.482025,220.113998,13.84834,50.105696
27,Arable land,206851.2718,389.515015,221.322998,13.836578,50.109783
28,Forest,121071.6257,393.833984,226.537003,13.830026,50.10934
29,Arable land,60802.80636,372.310974,201.707993,13.829662,50.105287
30,Arable land,48449.33842,349.328003,176.783997,13.833482,50.102391
31,Arable land,87969.00785,448.026001,289.990997,13.87238,50.105658
32,Meadow,79975.4687,405.817993,241.410004,13.854441,50.104868
33,Forest,233228.3803,404.188995,234.978012,13.850658,50.095612
34,Forest,219995.339,405.722015,238.10199,13.864201,50.099055
35,Forest,242154.0097,425.800018,264.174988,13.870714,50.10158
36,Arable land,11343.00964,421.873016,252.001984,13.844729,50.09612
37,Meadow,44286.73445,420.747986,258.143005,13.877234,50.103659
38,Arable land,33171.50842,421.766998,259.102997,13.872605,50.101863
