FID,Land_Use,RVK,VVK,Area,Lon,Lat
1,Forest,383.128998,215.569992,332236.462,13.854213,50.117287
2,Forest,393.219971,226.219009,574784.866,13.841231,50.118156
3,Forest,358.837006,188.812012,229080.7416,13.846206,50.113017
4,Forest,392.890991,227.162003,292763.3228,13.868731,50.114691
5,Forest,381.889008,214.633011,165885.8368,13.862092,50.116744
6,Building,378,212.44,24141.98299,13.847437,50.107837
7,Arable Land,352.983032,182.026001,104019.7808,13.851453,50.107766
8,Arable Land,363.684021,195.266998,120134.5064,13.857014,50.108662
9,Arable Land,413.926025,253.903992,108717.2405,13.862228,50.109552
10,Meadow,418.814026,259.09201,18248.52707,13.865584,50.111028
11,Arable Land,422.091003,261.921997,96903.39032,13.867245,50.110359
12,Meadow,349.526001,178.173996,24677.20102,13.853163,50.110006
13,Arable Land,326.705994,151.408997,91926.00192,13.855532,50.111295
14,Arable Land,360.867004,190.970993,89899.69729,13.850785,50.110531
15,Arable Land,391.101013,242.854996,110241.1864,13.863059,50.111814
16,Arable Land,369.005005,200.13501,131838.2575,13.847289,50.110571
17,Arable Land,356.799988,186.544006,123094.1297,13.854539,50.113791
18,Arable Land,408.955017,246.049011,40954.03604,13.843433,50.110175
19,Arable Land,363.714966,192.136993,99922.74186,13.859524,50.113338
20,Forest,382.380981,214.813004,445514.9983,13.839463,50.114164
21,Forest,396.152008,229.069,44172.77727,13.832056,50.117321
22,Wetland,356.799988,191.399002,9214.896382,13.858145,50.112566
23,Arable Land,391.101013,225.619995,43163.35964,13.862594,50.112936
