FID ,Land_Use,RVK,VVK,Area,Lon,Lat
1,Forest,393.219971,226.219009,402733.9053,13.842012,50.118816
2,Forest,358.837006,188.812012,229080.7416,13.846206,50.113017
3,Forest,392.890991,227.162003,183522.7913,13.86818,50.115462
4,Forest,381.889008,214.633011,165885.8368,13.862092,50.116744
5,Building,391.848999,225.654999,24141.98299,13.847437,50.107837
6,Arable Land,352.983032,182.026001,104019.7808,13.851453,50.107766
7,Arable Land,363.684021,195.266998,120134.5064,13.857014,50.108662
8,Arable Land,413.926025,253.903992,108717.2405,13.862228,50.109552
9,Meadow,418.814026,259.09201,18248.52707,13.865584,50.111028
10,Arable Land,422.091003,261.921997,96903.39032,13.867245,50.110359
11,Meadow,349.526001,178.173996,24677.20102,13.853163,50.110006
12,Arable Land,325.619019,151.408997,91926.00192,13.855532,50.111295
13,Arable Land,360.867004,190.970993,89899.69729,13.850785,50.110531
14,Arable Land,405.516022,242.854996,110241.1864,13.863059,50.111814
15,Arable Land,369.005005,200.13501,131838.2575,13.847289,50.110571
16,Arable Land,356.799988,186.544006,123094.1297,13.854539,50.113791
17,Arable Land,408.955017,246.049011,40954.03604,13.843433,50.110175
18,Arable Land,361.502014,192.136993,99922.74186,13.859524,50.113338
19,Forest,377.713989,214.813004,273081.0361,13.840468,50.113733
20,Forest,396.152008,229.069,44172.77727,13.832056,50.117321
21,Channel,360.871002,191.399002,9214.896382,13.858145,50.112566
22,Arable Land,390.592987,225.619995,43163.35964,13.862594,50.112936
23,Forest,395.005981,226.219009,172050.9608,13.839403,50.11661
24,Forest,389.613007,227.162003,109240.5315,13.869656,50.113395
25,Forest,377.078003,215.569992,90614.71251,13.852372,50.115891
26,Forest,383.128998,215.569992,241621.7495,13.854904,50.11781
27,Forest,382.380981,214.813004,123635.9488,13.83966,50.115342
28,Forest,394.240997,214.813004,48798.01339,13.833339,50.113596
