FID ,Land_Use,RVK,VVK,Area,Lon,Lat
1,Meadow,395.451019,228.334015,33287.34233,13.841443,50.111721
2,Meadow,338.928986,166.292999,65688.44078,13.856785,50.110691
3,Arable Land,361.495026,192.69899,40627.20773,13.858247,50.110837
4,Arable Land,417.612976,255.786987,23259.5344,13.871749,50.113198
5,Road,335.569,162.518005,5813.35026,13.851125,50.109217
6,Arable Land,388.636017,224.541,310917.7072,13.856624,50.108542
7,Wetland,404.973999,242.199997,12722.87359,13.860753,50.111333
8,Forest,406.351013,243.533005,49023.23565,13.869268,50.113612
9,Arable Land,359.240997,189.403992,232427.1888,13.855449,50.11288
10,Forest,400.885986,236.446991,151237.2548,13.869072,50.115007
11,Arable Land,433.800018,276.347992,32484.75901,13.866192,50.109125
12,Arable Land,409.006012,245.984985,27112.51092,13.843267,50.109943
13,Arable Land,356.799988,186.544006,129528.7276,13.849625,50.112143
14,Arable Land,321.531006,146.738998,6953.258088,13.853623,50.111725
15,Arable Land,369.303009,201.208008,57405.46984,13.857682,50.112475
16,Arable Land,317.996002,142.789001,17290.77982,13.855401,50.110454
17,Arable Land,391.101013,226.168991,200417.8358,13.864931,50.111761
18,Arable Land,412.20401,250.016006,66399.20779,13.848664,50.109256
19,Arable Land,408.955017,246.049011,13829.78246,13.843756,50.110632
20,Meadow,418.587982,257.390991,19931.78197,13.869937,50.112454
21,Building,370,209,9697.876847,13.8388,50.115743
22,Forest,383.128998,215.569992,331768.1689,13.854206,50.11729
23,Forest,393.219971,226.219009,563349.1295,13.841347,50.118166
24,Forest,358.837006,188.812012,229080.7409,13.846206,50.113017
25,Froest,381.889008,214.633011,162138.9183,13.862111,50.116792
26,Forest,394.753998,227.635986,16424.86874,13.832565,50.115359
27,Forest,382.380981,214.813004,445514.9983,13.839463,50.114164
28,Forest,392.890991,227.162003,48933.22861,13.865318,50.116393
29,Forest,396.152008,229.069,18278.37649,13.831641,50.118867
