Cor,GOF,KGE
0.820405149,0.642815245,0.455156311
0.654390259,-3.821657209,-12.69913578
0.785033993,-1.691218266,-17.58535596
0.831720043,-1.519602043,-16.42470126
0.471620476,-3.151667976,-20.84934344
0.886773031,0.753214829,-1.482647886
-0.408602597,-2.09579339,-5.012184887
0.888065059,0.363225619,-7.022229866
0.889860526,0.720912604,-2.502099724
0.68609544,-0.667612038,-18.22559902
0.328485159,-1.803180269,-15.77846328
0.902253796,0.605014168,-4.006232953
0.773322574,-1.268620335,-26.13377876
0.707888892,-0.518857585,-15.00540702
0.210795171,-1.288919023,-442.3505819
-0.547716656,-1.226320659,-0.590945521
-0.320413434,-1.514730035,-6.223014206
0.403509069,-2.232430237,-17.14706
0.259516828,-1.41238944,-41.70634565
-0.494366116,-1.750501899,-3.817477984
-0.093105453,-1.730628654,-11.84755324
0.904743694,0.311119415,-4.919879532
0.629233012,-0.646994308,-27.84298801
0.853471506,0.637944949,-5.189196991
0.69678772,-2.668604518,-9.886168056
0.335870661,-3.605467318,-8.339229666
0.430041143,-1.28532026,-62.87221363
-0.309559617,-1.754154497,-5.427793406
0.606115665,-0.998723302,-30.35458616
-0.059889849,-1.496349822,-14.61491978
0.896329789,0.300946389,-5.935568811
0.667890764,-1.34221139,-10.50942743
0.595875751,-2.149428402,-15.41715893
0.540445531,-3.66724342,-9.942450128
0.810890257,-2.003457966,-12.13383973
-0.378113784,-1.51061523,-4.531071567
0.868518991,0.695516638,-1.074845398
0.828792819,-0.457337767,-10.49812569
