Cor,GOF,KGE
-0.135090117,-1.695467599,-1.12E+14
-0.106783404,-1.807028896,-1.51E+14
0.01527239,-4.429482701,-6.93E+14
-0.095690005,-1.844664545,-8.26E+13
-0.070901426,-1.08723028,-1.62E+14
-0.08301492,-0.590434717,-3.80E+14
0.273285703,-0.217364513,-2.72E+14
0.209790866,-0.393198726,-4.18E+14
0.175169503,-0.59844129,-2.34E+14
0.163522751,-0.358770135,-1.61E+14
0.220694468,-0.312761367,-3.93E+14
0.181393756,-0.362995883,-1.92E+14
0.027640603,-3.23300513,-6.85E+14
0.085225016,-1.599872905,-2.62E+14
0.384690626,-2.455891803,-9.47E+14
0.132315347,-1.514347576,-2.80E+14
0.807385572,-0.674017701,-3.73E+14
0.214702321,-0.267557457,-4.04E+14
0.899004595,-0.162529312,-1.11E+15
0.072638425,-5.43087974,-9.00E+14
-0.032593142,-0.393226712,-1.14E+14
0.020265771,-2.934127702,-9.72E+13
0.867575441,-0.44109766,-9.05E+14
