Cor,GOF,KGE
0.262111041,-0.24041517,-4.33E+14
0.184188962,-0.455960126,-2.00E+14
0.66699914,-1.338144021,-8.87E+14
0.563406354,-1.271302902,-1.16E+15
-0.124528441,-0.819825445,-1.10E+15
0.224698466,-0.240930409,-6.77E+14
-0.082693383,-2.907326875,-1.63E+14
-0.009894971,-1.726653897,-1.69E+13
0.823193172,-0.537626599,-7.16E+14
-0.076771655,-1.75158941,-1.00E+14
0.270502144,-0.224402746,-3.38E+14
0.212443127,-0.292498044,-6.71E+14
0.367628327,-1.234035016,-1.34E+14
0.108310687,-2.552640463,-1.29E+15
0.846602375,-0.194383917,-1.72E+15
0.163373769,-0.486606107,-1.83E+14
-0.052682721,-2.750663791,-3.24E+14
0.203845615,-0.35993483,-2.49E+14
0.176546626,-0.330918008,-2.55E+14
-0.033622969,-2.829502,-1.23E+15
-0.108327665,-0.634348891,-4.89E+15
-0.139481796,-1.645978053,-7.87E+13
-0.109917909,-1.845552109,-1.49E+14
0.019923382,-4.677680376,-7.21E+14
-0.157155923,-1.397645949,-3.43E+14
-0.079963454,-0.438807833,-4.02E+14
0.069842522,-5.604768574,-9.13E+14
-0.060206508,-0.943039635,-1.15E+14
-0.052511558,-0.398943947,-4.16E+13
